age_group,country,population_gender,population_thousands
100+,AU,female,1.0
95-99,AU,female,9.0
90-94,AU,female,47.0
85-89,AU,female,118.0
80-84,AU,female,199.0
75-79,AU,female,298.0
70-74,AU,female,415.0
65-69,AU,female,574.0
60-64,AU,female,636.0
55-59,AU,female,714.0
50-54,AU,female,778.0
45-49,AU,female,778.0
40-44,AU,female,820.0
35-39,AU,female,797.0
30-34,AU,female,881.0
25-29,AU,female,895.0
20-24,AU,female,820.0
15-19,AU,female,768.0
10-14,AU,female,743.0
5-9,AU,female,784.0
0-4,AU,female,824.0
100+,AU,male,4.0
95-99,AU,male,25.0
90-94,AU,male,94.0
85-89,AU,male,179.0
80-84,AU,male,252.0
75-79,AU,male,338.0
70-74,AU,male,438.0
65-69,AU,male,592.0
60-64,AU,male,660.0
55-59,AU,male,739.0
50-54,AU,male,798.0
45-49,AU,male,793.0
40-44,AU,male,838.0
35-39,AU,male,801.0
30-34,AU,male,865.0
25-29,AU,male,851.0
20-24,AU,male,787.0
15-19,AU,male,737.0
10-14,AU,male,707.0
5-9,AU,male,745.0
0-4,AU,male,781.0
75-79,CA,male,530.0
75-79,CA,female,446.0
35-39,CA,male,1192.0
25-29,CA,male,1220.0
95-99,CA,female,13.0
40-44,CA,female,1179.0
30-34,CA,male,1240.0
60-64,CA,male,1142.0
55-59,CA,female,1287.0
45-49,CA,female,1232.0
85-89,CA,male,300.0
50-54,CA,female,1400.0
100+,CA,female,1.0
70-74,CA,female,650.0
95-99,CA,male,42.0
100+,CA,male,7.0
90-94,CA,female,68.0
50-54,CA,male,1391.0
0-4,CA,female,1045.0
5-9,CA,female,1011.0
70-74,CA,male,715.0
10-14,CA,female,983.0
55-59,CA,male,1305.0
45-49,CA,male,1217.0
20-24,CA,male,1159.0
15-19,CA,female,1054.0
20-24,CA,female,1203.0
65-69,CA,female,914.0
40-44,CA,male,1169.0
90-94,CA,male,153.0
65-69,CA,male,973.0
60-64,CA,female,1094.0
85-89,CA,female,183.0
25-29,CA,female,1273.0
5-9,CA,male,960.0
80-84,CA,male,422.0
30-34,CA,female,1262.0
10-14,CA,male,929.0
0-4,CA,male,991.0
35-39,CA,female,1189.0
15-19,CA,male,1009.0
80-84,CA,female,318.0
70-74,DE,female,2099.0
80-84,DE,male,1486.0
60-64,DE,male,2799.0
100+,DE,female,3.0
5-9,DE,male,1690.0
75-79,DE,male,2421.0
70-74,DE,male,2362.0
65-69,DE,male,2134.0
85-89,DE,female,517.0
25-29,DE,male,2495.0
60-64,DE,female,2575.0
0-4,DE,male,1713.0
55-59,DE,female,2983.0
50-54,DE,female,3614.0
30-34,DE,male,2571.0
45-49,DE,female,3525.0
40-44,DE,female,2633.0
35-39,DE,male,2402.0
65-69,DE,female,2003.0
35-39,DE,female,2448.0
20-24,DE,male,2161.0
30-34,DE,female,2627.0
95-99,DE,female,17.0
40-44,DE,male,2559.0
75-79,DE,female,1932.0
25-29,DE,female,2593.0
10-14,DE,male,1800.0
20-24,DE,female,2266.0
15-19,DE,female,2076.0
45-49,DE,male,3357.0
10-14,DE,female,1892.0
5-9,DE,female,1781.0
50-54,DE,male,3513.0
0-4,DE,female,1811.0
15-19,DE,male,1974.0
100+,DE,male,14.0
90-94,DE,female,154.0
80-84,DE,female,1016.0
95-99,DE,male,71.0
90-94,DE,male,491.0
55-59,DE,male,2996.0
85-89,DE,male,988.0
95-99,ES,female,22.0
15-19,ES,male,1027.0
85-89,ES,female,306.0
75-79,ES,female,688.0
40-44,ES,male,1924.0
100+,ES,female,3.0
90-94,ES,female,112.0
45-49,ES,female,1909.0
15-19,ES,female,1087.0
0-4,ES,male,1198.0
70-74,ES,male,1040.0
5-9,ES,female,1307.0
10-14,ES,male,1124.0
30-34,ES,female,1748.0
65-69,ES,male,1251.0
95-99,ES,male,64.0
80-84,ES,male,843.0
55-59,ES,female,1479.0
10-14,ES,female,1189.0
50-54,ES,male,1733.0
20-24,ES,male,1106.0
40-44,ES,female,2052.0
70-74,ES,female,880.0
30-34,ES,male,1646.0
35-39,ES,female,2117.0
75-79,ES,male,906.0
25-29,ES,male,1280.0
5-9,ES,male,1235.0
60-64,ES,female,1235.0
55-59,ES,male,1531.0
25-29,ES,female,1347.0
85-89,ES,male,563.0
65-69,ES,female,1119.0
100+,ES,male,9.0
90-94,ES,male,256.0
35-39,ES,male,1966.0
80-84,ES,female,559.0
0-4,ES,female,1272.0
60-64,ES,male,1316.0
